id	word	token	category	table_name	column_name	alias	dotted_name	function_call	pseudocolumn	notes
kw_150	LIKE2	2120	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_151	LIKE4	2121	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_152	LIKEC	2122	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_153	LIMIT	2123	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_154	LINK	2124	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_155	LIST	2125	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_156	LOCAL	2126	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_157	LOCK	2127	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_158	LOCKED	2128	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_159	LOG	2129	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_160	LOGGING	2130	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_161	LONG	2131	type	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_162	LOOP	2132	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_163	MAIN	2281	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_164	MATCHED	2133	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_165	MATERIALIZED	2134	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_166	MAXEXTENTS	2135	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_167	MAXVALUE	2136	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_168	MEASURES	2282	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_169	MERGE	2137	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_170	MINUS	2138	clause-starter	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_171	MINVALUE	2139	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_172	MODE	2140	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_173	MODEL	2141	clause-starter	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_174	MODIFY	2142	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_175	MULTISET	2143	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_176	NAME	2310	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_177	NATURAL	2144	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_178	NAV	2283	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_179	NCHAR	2145	type	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_180	NCLOB	2146	type	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_181	NESTED	2302	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_182	NEXT	2147	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_183	NOAUDIT	2148	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_184	NOCACHE	2149	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_185	NOCOMPRESS	2150	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_186	NOCOPY	2151	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_187	NOCYCLE	2152	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_188	NOLOGGING	2153	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_189	NOMAXVALUE	2154	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_190	NOMINVALUE	2155	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_191	NOORDER	2156	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_192	NOPARALLEL	2157	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_193	NOT	2158	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_194	NOWAIT	2159	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_195	NULL	2160	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_196	NULLS	2161	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_197	NUMBER	2162	type	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_198	NVARCHAR2	2163	type	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_199	OF	2164	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_200	OFFLINE	2165	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_201	OFFSET	2166	clause-starter	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_202	ON	2167	clause-starter	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_203	ONLINE	2168	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_204	ONLY	2169	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_205	OPEN	2170	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_206	OPTION	2171	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_207	OR	2172	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_208	ORDER	2173	clause-starter	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_209	ORDINALITY	2303	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_210	OUT	2174	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_211	OUTER	2175	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_212	OVER	2176	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_213	PACKAGE	2177	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_214	PARALLEL	2178	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_215	PARALLEL_ENABLE	2179	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_216	PARTITION	2180	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
